hotel_id,city,name,address,postalcode
324,Chantilly,Hyatt Place Chantilly Dulles Airport South,4994 Westone Plz,20151
325,Chantilly,Staybridge Suites Chantilly Dulles Airport,3860 Centerview Dr,20151
326,Chapel Hill,"Hampton Inn & Suites Chapel Hill/Durham, Area",6121 Farrington Rd,27517
327,Chapel Hill,"The Siena Hotel, Autograph Collection",1505 E Franklin St,27514
328,Charleston,Holiday Inn Express Charleston Dwtn - Ashley River,250 Spring St,29403
329,Charleston,Indigo Inn,1 Maiden Ln,29401
330,Charleston,King Charles Inn,237 Meeting St,29401
331,Charleston,Sleep Inn,2772 Pennsylvania Ave,25302
332,Charleston,The Mills House Wyndham Grand Hotel,115 Meeting St,29401
333,Charleston,The Restoration,75 Wentworth St,29401
334,Charlevoix,Maple Leaf Motel,1414 Bridge St,49720
335,Charlotte,Americas Best Value Inn - Charlotte,828 E Shepherd St,48813
336,Charlotte,Drury Inn & Suites Charlotte Northlake,6920 Northlake Mall Dr,28216
337,Charlotte,Extended Stay America Charlotte - Pineville - Pineville Matthews Rd.,8405 Pineville Matthews Rd,28226
338,Charlotte,Hyatt Place Charlotte Airport/lake Pointe,4119 Southstream Blvd,28217
339,Charlotte,Sonesta Es Suites Charlotte,7925 Forest Pine Dr,28273
340,Charlottesville,Courtyard Charlottesville North,638 Hillsdale Dr,22901
341,Charlottesville,Hyatt Place Charlottesville,2100 Bond St,22901
342,Chattanooga,Courtyard Chattanooga Downtown,200 Chestnut St,37402
343,Chattanooga,Economy Inn,5505 Brainerd Rd,37411
344,Chattanooga,MainStay Suites,7030 Amin Dr,37421
345,Chattanooga,Quality Inn Suites,3540 Cummings Hwy,37419
346,Chebeague Island,Chebeague Island Inn,61 South Rd,4017
347,Cherokee,Comfort Suites,1223 Tsali Blvd,28719
348,Cherokee,Pioneer Motel and Cottages,Po Box 397,28719
349,Cherokee,Stonebrook Lodge,436 Paint Town Rd,28719
350,Chesapeake,Comfort Inn & Suites,3355 S Military Hwy,23323
351,Chesapeake,Comfort Suites,1550 Crossways Blvd,23320
352,Chesapeake,Econo Lodge,2222 S Military Hwy,23320
353,Chesapeake,SpringHill Suites Chesapeake Greenbrier,1446 Crossways Blvd,23320
354,Cheyenne,Atlas Motel,1524 W Lincolnway,82001
355,Cheyenne,Comfort Inn Suites,201 W Fox Farm Rd,82007
356,Chicago,AC Hotel Chicago Downtown,630 North Rush Street,60611
357,Chicago,Ace Hotel Chicago,311 North Morgan Street,60611
358,Chicago,Best Western Plus Hawthorne Terrace Hotel,3434 N Broadway Ave,60657
359,Chicago,Central Loop Hotel,111 W Adams St,60603
360,Chicago,Clarion Inn & Suites,7353 S Cicero Ave,60629
361,Chicago,Freehand Chicago,19 E Ohio St,60611-2707
362,Chicago,Hampton Inn Chicago Downtown/N Loop/Michigan Ave,68 E Wacker Pl,60601
363,Chicago,Hotel Lincoln,1816 N Clark St,60614
364,Chicago,Kinzie Hotel,20 West Kinzie Street,60654
365,Chicago,Moxy Chicago Downtown,530 N LaSalle Dr,60654
366,Chicago,Quality Inn Midway Airport,7353 S Cicero Ave,60629-5816
367,Chicago,River Hotel,75 E Wacker Dr,60601-3756
368,Chicago,Rodeway Inn,5952 N Lincoln Ave,60659-3739
369,Chicago,The Villa Toscana,3447 N Halsted St,60657-2414
370,Chicago,The Westin Chicago River North,320 North Dearborn Street,60654-5010
371,Chicago,Virgin Hotels Chicago,203 N Wabash Ave,60601
372,Chicago,dana hotel and spa,660 North State Street,60654
373,Chillicothe,Best Western Adena Inn,1250 N Bridge St,45601
374,Chimney Rock,Carter Lodge,273 Main St,28720
375,Chimney Rock,Esmeralda Inn,910 Main St,28720
376,Chincoteague Island,Comfort Suites,4195 Main St,23336
377,Chincoteague Island,Days Inn Chincoteague Island,7020 Maddox Blvd,23336
378,Cincinnati,Hampton Inn Suites Cincinnati/Uptown-University Area,3024 Vine St,45219
379,Cincinnati,Millennium Hotel Cincinnati,150 W 5th St,45202
380,Cincinnati,Springhill Suites Cincinnati Midtown,610 Eden Park Dr,45202
381,Cisco,Executive Inn,301 E Interstate 20,76437
382,Claremont,Rodeway Inn,24 Sullivan St,3743
383,Clarksville,Home2 Suites by Hilton Clarksville/Ft. Campbell,3020 Mr C Dr,37040
384,Clarksville,Mainstay Suites-fort Campbell,115 Fair Brook Pl,37040
385,Clarksville,Westgate Inn & Suites,803 N 2nd St,37040
386,Clear Lake,Americas Best Value Inn Clear Lake,1306 N 25th St,50428
387,Clearfield,Best Western Plus Clearfield,14424 Clearfield Shawville Hwy,16830
388,Clearwater,Comfort Inn & Suites,3910 Ulmerton Rd,33762
389,Clearwater,Orange Motel,1736 Gulf To Bay Blvd,33755
390,Clearwater Beach,Chart House Suites On Clearwater Bay,850 Bayway Blvd,33767
391,Clearwater Beach,Echo Sails Motel,216 Hamden Dr,33767
392,Clearwater Beach,Sea Captain Resort On The Bay,40 Devon Dr,33767
393,Clemson,Courtyard by Marriott Clemson,201 Canoy Ln,29631
394,Clermont,Holiday Inn Express Clermont,1810 S Highway 27,34711
395,Cleveland,Aloft Cleveland Downtown,1111 W 10th St,44113
396,Cleveland,Hilton Cleveland Downtown,100 Lakeside Ave E,44114
397,Cleveland,Mountain View Inn,2400 Executive Park NW,37312
398,Clinton,Comfort Inn,1412 Sunset Ave,28328
399,Clinton,Hampton Inn Knoxville/Clinton I-75,105 Hillvale Rd,37716
400,Clinton,Holiday Inn Express Suites Clinton,2000 Boulevard of Champions,73601
401,Coal Center,Hampton Inn Suites California University-Pittsburgh,200 Technology Dr,15423
402,Coalinga,Laura Lodge,201 S 5th St,93210
403,Cocoa Beach,Sea-Aire Motel,181 N Atlantic Ave,32931
404,Coeur d'Alene,Hampton Inn & Suites Coeur d'Alene,1500 W Riverstone Dr,83814-5760
405,Coeur d'Alene,Japan House Suites,2113 E Sherman Ave,83814
406,Coeur d'Alene,Shilo Inn Suites - Coeur d'Alene,702 W Appleway Ave,83814-9338
407,Coeur d'Alene,SpringHill Suites Coeur d'Alene,2250 W Seltice Way,83814
408,Colchester,Quality Inn Colchester - Burlington,84 S Park Dr,5446
409,Collinsville,Drury Inn St Louis Collinsville,602 N Bluff Rd,62234
410,Colorado Springs,The Academy Hotel Colorado Springs,8110 N Academy Blvd,80920
411,Columbia,Best Western Plus Columbia North East,7525 Two Notch Rd,29223
412,Columbia,Comfort Inn,1544 Bear Creek Pike,38401
413,Columbia,Courtyard Columbia,8910 Stanford Blvd,21045
414,Columbia,Hampton Inn Suites Columbia/South,7045 Minstrel Way,21046
415,Columbia,Sonesta ES Suites Columbia Baltimore,8844 Columbia 100 Pkwy,21045
416,Columbia,Super 8 Columbia,1554 Bear Creek Pike,38401
417,Columbus,Comfort Suites Airport,4270 Sawyer Rd,43219
418,Columbus,Comfort Suites East Broad At 270,70 Chris Perry Ln,43213
419,Columbus,Crowne Plaza Columbus-Downtown,33 E Nationwide Blvd,43215
420,Columbus,Days Inn Columbus Airport,750 Stelzer Rd,43219
421,Columbus,Four Points by Sheraton Columbus Ohio Airport,3030 Plaza Properties Blvd,43219
422,Columbus,Git's Big Sky Motel,740 E Pike Ave,59019
423,Columbus,Hampton Inn Columbus/South-Fort Benning,2870 S Lumpkin Rd,31903
424,Columbus,Hampton Inn Suites Columbus/University Area,3160 Olentangy River Rd,43202
425,Columbus,Holiday Inn Express & Suites Columbus - Polaris Parkway,8670 Orion Pl,43240
426,Columbus,Holiday Inn Express & Suites Columbus Univ Area - Osu,3045 Olentangy River Rd,43202
427,Columbus,Microtel Inn Suites by Wyndham Columbus/Near Fort Benning,3930 Saint Marys Rd,31907
428,Concord,Comfort Inn,71 Hall St,3301
429,Conrad,Northgate Motel,5 N Main St,59425
430,Conroe,Hampton Inn Suites Conroe I45 North,2242 Stoneside Rd,77303
